Supplier Name,Location,Category,Product,Transportation Mode,Transportation Route,Distribution Network,Emission Intensity (kg CO2/unit),Total Emissions (ton CO2),Fuel Consumption (liters),Energy Consumption (GJ),Sustainability Rating,Regulatory Impact,Year
Apex Supply Co.,Canada,Transportation,GPS System,Truck,Interstate 55 (I-55),Manufacturers,5.73,31.8,8092.66,424.64,6.2,Medium,2019
Zenith Logistics,Brazil,Residential,Vacuum Cleaner,Air,Port of Singapore,Manufacturers,12.25,47.18,7812.86,289.29,4.8,Low,2023
Zenith Supply Co.,Switzerland,Residential,Lamp,Truck,Interstate 80 (I-80),Logistics,17.55,41.47,6218.28,969.61,8.1,High,2023
Omega Trading Solutions,Argentina,Electric,Electric Heater,Train,Hamburg Port,Manufacturers,13.82,3.8,156.25,909.35,8,Low,2018
Titan Supply Chain,Egypt,Electric,Power Strip,Truck,Eurostar Brussels-London,Manufacturers,7.1,3.2,1815.37,846.98,4.5,Low,2018
Apex Logistics,Vietnam,Transportation,Shock Absorber,Train,Port of Zeebrugge,Suppliers,5.99,21.36,3148.7,955.79,5.5,Medium,2020
Omega Trading Solutions,Argentina,Electric,Smart Plug,Train,Tokyo Narita Airport,Manufacturers,4.95,9.05,7721.66,312.97,7.5,Low,2023
Pinnacle Trading Co.,Singapore,Industrial,Air Compressor,Train,Port of Hong Kong,Logistics,9.6,46.83,9108.24,16.9,7.1,High,2022
Nexus Procurement,Germany,Industrial,Conveyor Belt,Ship,Eurostar London-Paris,Suppliers,14.22,24.19,8066.36,631.35,6.2,Low,2019
Nova Enterprises,Philippines,Electric,Surge Protector,Air,Port of Hamburg,Manufacturers,2.92,20.97,6523.2,735.49,5.8,Medium,2018
Proxima Trading Co.,Russia,Residential,Television,Ship,Port of Shanghai,Suppliers,12.28,6.53,1413.94,382.11,5.1,Low,2018
Nova Trade Solutions,Italy,Electric,Electric Fan,Air,Port of Rotterdam,Suppliers,11.11,15.01,4537.91,494.73,5.6,High,2020
Nova Resource Group,Ukraine,Commercial,Projector,Ship,Interstate 35 (I-35),Wholesalers,12.74,29.21,4303.93,672.85,7.6,Low,2019
Summit Procurement,Thailand,Electric,Power Strip,Ship,Thalys Amsterdam-Cologne,Wholesalers,19.54,35.59,1707.66,593.73,6.5,Medium,2019
Spectrum Supplies,Japan,Industrial,Forklift,Train,Shinkansen Tokyo-Osaka,Warehouses,10.72,25.29,9550.36,447.79,6.3,Medium,2019
Radiant Logistics,South Africa,Electric,Battery Charger,Air,Frankfurt Airport,Logistics,6.19,30.06,7255.45,252.66,5.1,High,2023
Quantum Logistics,Indonesia,Electric,Surge Protector,Truck,Port of Antwerp,Suppliers,4.91,26.01,9831.43,436.53,8.7,Low,2018
Proxima Supply Co.,United Arab Emirates,Commercial,File Cabinet,Truck,Port of New York and New Jersey,Warehouses,18.7,39.03,9767.34,347.03,5.6,High,2018
Horizon Supplies,Netherlands,Residential,Dishwasher,Truck,Tokyo Narita Airport,Suppliers,12.2,3.24,4105.1,679.05,4.5,High,2022
Aurora Trade Partners,United Kingdom,Transportation,Air Filter,Air,Haneda Airport,Wholesalers,6.46,34.75,3554.26,278.8,8.3,Low,2019
Zenith Supply Co.,Switzerland,Electric,Wall Socket,Train,Thalys Cologne-Paris,Warehouses,16.54,49.78,1517.94,628.05,8,Low,2020
Pinnacle Resources,Peru,Transportation,Radiator,Train,Interstate 95 (I-95),Warehouses,6.04,49.96,2498.93,347.74,8.2,High,2019
Terra Resources,Uruguay,Commercial,Projector,Ship,Port of Felixstowe,Logistics,1.16,21.69,8280.06,893.22,8.5,High,2018
Titan Resource Partners,Kenya,Electric,Extension Cord,Train,Interstate 90 (I-90),Wholesalers,4.65,39,5749.28,242.93,4.6,Medium,2021
Proxima Supply Co.,United Arab Emirates,Residential,Vacuum Cleaner,Train,Port of Valencia,Logistics,6.45,28.63,5818.58,114.87,7.1,High,2019
Nova Trade Solutions,Italy,Transportation,GPS System,Truck,Port of Busan,Suppliers,16.15,39.46,7254.33,937.08,5.5,High,2021
Terra Resources,Uruguay,Industrial,Industrial Robot,Ship,Port of Rotterdam,Logistics,19.45,47.53,3539.53,243.83,7.1,Medium,2018
Apex Logistics,Vietnam,Electric,Smart Plug,Train,Paris Orly Airport,Wholesalers,5.98,32.3,4858.55,232.7,9.6,High,2021
Vertex Industries,Turkey,Transportation,Tire,Air,Paris Orly Airport,Wholesalers,18.18,45.62,7199.78,267.03,7.6,Low,2019
Atlas Trading Co.,Singapore,Commercial,Office Desk,Ship,Shinkansen Tokyo-Osaka,Logistics,14.2,22.23,7276.98,398.95,4.3,High,2018
Radiant Logistics,South Africa,Commercial,Cubicle Partition,Truck,Thalys Cologne-Paris,Retailers,5.08,3.16,6694.73,652.27,6.1,Medium,2020
Ascend Distribution,Sweden,Electric,Surge Protector,Air,Interstate 55 (I-55),Logistics,6.83,1,1268.26,157.77,4.8,Medium,2019
Nova Trade Solutions,Italy,Commercial,File Cabinet,Train,Thalys Paris-Brussels,Suppliers,17.94,41.9,4417.61,561.4,9.6,Medium,2020
Stellar Supply Co.,Malaysia,Industrial,Industrial Robot,Truck,Interstate 40 (I-40),Wholesalers,19.48,35.3,4545.74,737.07,4.5,Medium,2019
Titan Resource Partners,Kenya,Industrial,Hydraulic Pump,Train,Interstate 90 (I-90),Logistics,18.06,24.14,9428.94,467.51,8.5,Low,2023
Apex Logistics,Vietnam,Electric,Electric Fan,Truck,Eurostar Brussels-London,Logistics,9.09,8.97,120.93,562.21,7.6,Medium,2018
Frontier Supply Co.,New Zealand,Industrial,CNC Machine,Air,Frankfurt-Munich,Suppliers,18.58,19.65,331.3,233.13,6.8,Low,2020
Vanguard Resources,Taiwan,Industrial,CNC Machine,Truck,Hamburg Port,Logistics,1.59,8.15,8203.92,114.35,7.1,Low,2021
Proxima Trading Co.,Russia,Electric,Electric Heater,Truck,Interstate 75 (I-75),Logistics,1.74,16.1,6588.99,634.92,8.1,High,2019
Terra Logistics,India,Electric,Solar Panel,Truck,Interstate 95 (I-95),Manufacturers,17.81,48.36,2861.29,848.37,7.1,Medium,2021
Nexus Procurement,Germany,Commercial,File Cabinet,Train,Eurostar Brussels-London,Manufacturers,7.05,24.01,6401.7,818.14,5.2,Medium,2022
Terra Logistics,India,Transportation,Tire,Ship,Port of Antwerp,Wholesalers,6.64,33.12,5933.37,566.05,7.3,Medium,2018
Nova Trade Solutions,Italy,Industrial,Lathe,Train,Paris Charles de Gaulle Airport,Retailers,19.57,36.76,2541.15,974.04,6.1,Medium,2019
Frontier Supply Co.,New Zealand,Industrial,Conveyor Belt,Truck,Interstate 85 (I-85),Logistics,10.35,43.53,2322.25,110.97,7.2,High,2023
Orion Trading Co.,Finland,Residential,Microwave,Truck,Port of Valencia,Logistics,1.28,43.15,5194.44,241.71,5.6,Low,2021
Apex Logistics,Vietnam,Transportation,Tire,Train,Schiphol Airport,Manufacturers,10.27,5.35,8101.77,54.71,6.6,High,2022
Titan Resource Partners,Kenya,Electric,Smart Plug,Train,LAX Airport,Warehouses,13.46,26,4583.03,788.04,6.6,Medium,2022
Stellar Solutions,South Korea,Industrial,Air Compressor,Truck,Dubai Port,Manufacturers,15.17,0.95,4707.18,991.14,7.2,High,2019
Nova Trade Solutions,Italy,Industrial,Welding Machine,Truck,Port of Antwerp,Logistics,2.91,49.74,7834.76,992.93,6.4,Medium,2023
Infinity Traders,Norway,Commercial,File Cabinet,Train,Interstate 35 (I-35),Suppliers,13.9,24.64,9227.04,875.39,7.7,Low,2022
Terra Logistics,India,Commercial,Printer,Train,Thalys Amsterdam-Cologne,Suppliers,12.58,48.29,4941.3,538.92,8,High,2021
Zenith Supply Co.,Switzerland,Transportation,Tire,Train,Dubai Port,Logistics,13.79,40.84,9908.57,771.76,6.3,Medium,2021
Vertex Supply Partners,Saudi Arabia,Transportation,GPS System,Ship,Port of Antwerp,Retailers,6.19,6.39,7597.35,698.61,3.9,High,2019
Terra Logistics,India,Transportation,Radiator,Truck,Interstate 85 (I-85),Wholesalers,9.1,48.63,9602.67,934.33,5.3,High,2020
Stellar Supply Co.,Malaysia,Transportation,Alternator,Air,Port of Los Angeles,Wholesalers,11.48,14.71,6207.17,257.05,6.7,Medium,2023
Vanguard Resources,Taiwan,Electric,Electric Fan,Air,Port of Santos,Manufacturers,14.68,25.36,5366.74,234.96,6.4,Medium,2018
Celestial Supply Chain,Chile,Industrial,Industrial Fan,Ship,Interstate 10 (I-10),Suppliers,2.29,26.52,7951.02,936.59,6.6,High,2019
Vertex Industries,Turkey,Industrial,Air Compressor,Air,Dubai Port,Wholesalers,10.33,19.56,5662.94,601.17,8.8,Medium,2019
Vanguard Supply,China,Transportation,Shock Absorber,Ship,Amtrak Acela Express,Retailers,9.36,1.6,7985.06,335.49,7.8,Low,2023
Horizon Distribution,Chile,Commercial,Projector,Truck,Haneda Airport,Manufacturers,19.9,24.71,1044.46,834.29,2.6,Low,2018
Stellar Solutions,South Korea,Residential,Television,Train,TGV Paris-Marseille,Logistics,13.92,30.07,2987.76,350.58,7.9,Medium,2018
Spectrum Trading Solutions,Mexico,Transportation,Alternator,Ship,Interstate 10 (I-10),Warehouses,5.69,17.47,8259.32,396.81,8.1,High,2023
Vertex Supply Partners,Saudi Arabia,Industrial,Pneumatic Tool,Train,Port of Jebel Ali,Suppliers,12.12,17.64,2054.29,450.8,7,Low,2023
Spectrum Enterprises,France,Residential,Heater,Air,Interstate 75 (I-75),Retailers,10.26,46.29,7470.29,635.22,8.2,Low,2022
Elevate Enterprises,Greece,Transportation,Brake Pad,Air,Eurostar London-Paris,Wholesalers,8.27,41.3,6249.91,473.01,7.4,Low,2020
Orion Trading Co.,Finland,Transportation,Shock Absorber,Ship,Amsterdam Airport Schiphol,Manufacturers,17.28,48.26,1672.11,223.36,4.6,High,2020
Summit Procurement,Thailand,Residential,Television,Train,Dubai Port,Logistics,5.9,43.52,3018.51,134.16,7.2,Low,2022
Vertex Industries,Turkey,Transportation,Alternator,Air,Interstate 85 (I-85),Manufacturers,18.95,12.81,6861.04,84.35,3.2,Low,2021
Nova Resource Group,Ukraine,Commercial,Desk Chair,Truck,Route 66 (Chicago to Los Angeles),Warehouses,13.31,9.33,6107.18,798.43,6.4,High,2019
Titan Resource Partners,Kenya,Transportation,Tire,Train,Interstate 5 (I-5),Wholesalers,18.45,47.47,1287.81,898.92,5.3,Low,2020
Spectrum Supplies,Japan,Commercial,Conference Table,Ship,Shinkansen Osaka-Kyoto,Retailers,16.11,14.1,734.29,143.02,6.9,Medium,2018
Radiant Logistics,South Africa,Electric,Electric Heater,Ship,Eurostar Brussels-London,Wholesalers,14.07,48.87,5575.61,199.09,4,Low,2019
Elevate Enterprises,Greece,Electric,Surge Protector,Ship,LAX Airport,Logistics,10.69,22.42,2060.42,291.9,5.6,Medium,2023
Infinity Traders,Norway,Industrial,Lathe,Train,Port of Felixstowe,Wholesalers,19.46,9.1,3870.75,86.46,8.3,Low,2020
Vanguard Supply,China,Commercial,Office Desk,Air,Port of Hamburg,Retailers,17.83,38.7,5673.54,114.11,7.3,High,2019
Spectrum Enterprises,France,Commercial,Projector,Air,Route 66 (Chicago to Los Angeles),Warehouses,8.42,34.46,5363.95,916.2,4.8,Low,2020
Infinity Logistics,Malaysia,Transportation,Brake Pad,Ship,Amsterdam Airport Schiphol,Suppliers,1.74,25.19,3288.02,246.55,7.2,Medium,2020
Nexus Procurement,Germany,Residential,Refrigerator,Ship,London Heathrow Airport,Manufacturers,10.62,25.51,9426.8,888.1,9,Medium,2019
Nova Resource Group,Ukraine,Residential,Washing Machine,Air,TGV Paris-Marseille,Retailers,5.49,7.74,2741.36,930.8,4.8,High,2018
Celestial Supply Chain,Chile,Transportation,Radiator,Train,Port of New York and New Jersey,Retailers,15.74,44.71,7216.39,234.91,6.4,Medium,2022
Apex Logistics,Vietnam,Commercial,Cubicle Partition,Train,Amsterdam Airport Schiphol,Warehouses,13.96,12.42,9255.29,48.04,6.8,High,2021
Radiant Traders,Venezuela,Industrial,CNC Machine,Air,Port of Santos,Manufacturers,13.7,27.47,3250.16,792.03,5.8,Medium,2022
Summit Distribution,Poland,Commercial,File Cabinet,Train,Tokyo Narita Airport,Manufacturers,17.65,1.82,9073.18,438.65,6.8,Medium,2022
Nova Trade Solutions,Italy,Electric,Surge Protector,Ship,Interstate 40 (I-40),Retailers,17.52,8.89,4265.86,787.05,7.2,Low,2019
Zenith Logistics,Brazil,Transportation,Air Filter,Air,Port of Rotterdam,Retailers,18.1,36.33,2958.97,178.44,8.5,Medium,2022
Spectrum Enterprises,France,Transportation,Tire,Ship,Interstate 95 (I-95),Wholesalers,11.63,18.57,9972.66,524.8,6.7,Medium,2020
Titan Resource Partners,Kenya,Industrial,Lathe,Truck,Eurostar Brussels-London,Retailers,6.9,49.87,1180.7,693.83,8.2,Medium,2018
Eclipse Enterprises,Australia,Industrial,Welding Machine,Ship,Port of Felixstowe,Retailers,13.88,36.6,9992,211.84,5.3,Low,2018
Elevation Supply Chain,Portugal,Electric,Solar Panel,Train,Interstate 55 (I-55),Warehouses,17.97,36.45,8376.93,645.55,6.5,Medium,2021
Titan Supply Chain,Egypt,Residential,Refrigerator,Air,Port of Singapore,Suppliers,1.3,7.29,6913.43,970.15,7.5,High,2018
Orion Trading Co.,Finland,Transportation,Car Battery,Air,Eurostar London-Paris,Suppliers,1.75,40.86,4686.6,374.35,4.4,Low,2021
Summit Procurement,Thailand,Transportation,Air Filter,Air,Dubai Port,Manufacturers,13.01,5.77,7138.72,626.59,5.7,Medium,2020
Apex Logistics,Vietnam,Electric,Surge Protector,Truck,Interstate 20 (I-20),Retailers,12.44,4.57,3005.5,162.7,6.2,High,2023
Summit Distribution,Poland,Commercial,File Cabinet,Truck,Eurostar London-Brussels,Retailers,17.17,34,7961.13,839.89,5.1,Medium,2020
Vanguard Supply,China,Residential,Vacuum Cleaner,Air,Port of Busan,Logistics,19.14,32.95,3136.07,304.59,5.3,Medium,2021
Omega Trading Solutions,Argentina,Commercial,Office Desk,Train,Paris Orly Airport,Manufacturers,18.28,22.99,551.68,81.19,6.3,High,2021
Terra Resources,Uruguay,Industrial,CNC Machine,Air,Port of Long Beach,Warehouses,14.36,16.13,5910.11,42.67,5.7,Low,2019
Aurora Logistics,Hungary,Transportation,Shock Absorber,Truck,Gatwick Airport,Logistics,8.67,17.44,4369.23,64.21,4.2,High,2021
Summit Procurement,Thailand,Transportation,Shock Absorber,Truck,Port of Felixstowe,Retailers,19.54,45.9,1962.52,529.93,8.4,High,2019
Proxima Trading Co.,Russia,Industrial,Air Compressor,Truck,Interstate 10 (I-10),Suppliers,8.51,33.06,8391.99,918.25,5.3,High,2022
Radiant Traders,Venezuela,Electric,Power Strip,Truck,Interstate 55 (I-55),Warehouses,13.29,28.8,9040.43,388.98,5.2,Low,2018
Aurora Trade Partners,United Kingdom,Residential,Vacuum Cleaner,Truck,Interstate 95 (I-95),Retailers,13.88,36.44,3346.1,689.51,5.9,High,2023
Aurora Trade Partners,United Kingdom,Industrial,Air Compressor,Ship,Dubai Port,Suppliers,17.53,37.3,3545.68,12.36,7.7,Low,2019
Terra Logistics,India,Electric,Extension Cord,Train,Interstate 70 (I-70),Manufacturers,8.68,4.32,1006.18,580.12,9.9,Medium,2021
Apex Logistics,Vietnam,Electric,Surge Protector,Train,Paris Orly Airport,Logistics,6.66,10.63,3178.83,796.68,6.6,Low,2023
Titan Resource Partners,Kenya,Residential,Sofa,Truck,Port of New York and New Jersey,Logistics,2.7,14.39,4998.51,999.83,7.7,Low,2020
Titan Resource Partners,Kenya,Residential,Sofa,Train,Amsterdam Airport Schiphol,Manufacturers,7.54,47.55,1974.64,414.98,5.3,Low,2022
Quantum Distributors,Colombia,Commercial,Conference Table,Train,Interstate 85 (I-85),Logistics,3.6,45.59,9296.54,885.87,4.7,High,2021
Vertex Industries,Turkey,Electric,Solar Panel,Ship,Port of Felixstowe,Warehouses,17.4,45.61,2601.5,617.17,7.6,High,2023
Nova Enterprises,Philippines,Commercial,Office Desk,Ship,Interstate 10 (I-10),Suppliers,9.25,41.38,7685.81,427.55,7.1,Low,2022
Nova Trade Solutions,Italy,Electric,Power Strip,Air,Port of Singapore,Warehouses,17.97,27.01,951.24,391.26,7.3,Low,2022
Zenith Logistics,Brazil,Electric,Surge Protector,Air,Interstate 55 (I-55),Retailers,15.13,33.65,5553.63,927.61,5.3,Medium,2022
Eclipse Distributors,Denmark,Residential,Television,Air,Port of Valencia,Suppliers,16.4,13.92,901.78,484.09,6.1,Low,2018
Aurora Trade Partners,United Kingdom,Electric,Electric Heater,Ship,Port of Los Angeles,Manufacturers,13.73,3,6236.6,386.74,7.2,Medium,2021
Frontier Resources,United States,Industrial,Industrial Fan,Train,Interstate 80 (I-80),Suppliers,10.52,20.94,6873.21,498.43,4.7,Medium,2021
Infinity Logistics,Malaysia,Residential,Refrigerator,Train,Port of New York and New Jersey,Warehouses,5.66,23.19,2963.77,253.46,8,High,2019
Stellar Supply Co.,Malaysia,Transportation,Radiator,Ship,Interstate 20 (I-20),Wholesalers,9.79,15.41,1073.28,461.08,6.6,Low,2023
Aurora Logistics,Hungary,Industrial,Hydraulic Pump,Train,Eurostar London-Paris,Logistics,15.14,35.42,536.08,288.35,5.3,Medium,2018
Proxima Supply Co.,United Arab Emirates,Commercial,File Cabinet,Truck,Route 66 (Chicago to Los Angeles),Logistics,9.44,19.04,4684.47,482.23,8.9,Low,2021
Radiant Logistics,South Africa,Residential,Heater,Truck,Hong Kong International Airport,Retailers,4.82,23.32,8934.06,668.05,9.9,Medium,2019
Summit Procurement,Thailand,Residential,Dishwasher,Air,Interstate 70 (I-70),Logistics,18.68,31,6230.62,44.07,9.6,Low,2018
Elevation Supply Chain,Portugal,Electric,Power Strip,Truck,Amtrak Acela Express,Wholesalers,19.97,38.88,2604.95,663.74,4.7,Medium,2023
Summit Distribution,Poland,Commercial,Conference Table,Truck,Eurostar London-Brussels,Logistics,9.79,42.72,732.89,968.96,4.7,High,2021
Elevation Supply Chain,Portugal,Transportation,Tire,Ship,Interstate 95 (I-95),Logistics,6.76,42.72,9595.65,49.34,6.2,Low,2023
Summit Procurement,Thailand,Residential,Heater,Ship,Frankfurt-Munich,Manufacturers,1.51,30.43,9185.43,48.71,7.5,Low,2021
Pinnacle Resources,Peru,Electric,Smart Plug,Truck,Gatwick Airport,Suppliers,18.86,9.09,4702.38,670.9,6.1,High,2022
Ascend Supply Chain,Bangladesh,Commercial,Projector,Truck,Port of Jebel Ali,Manufacturers,16.11,12.16,2332.82,203.67,7.1,Medium,2019
Atlas Trading Co.,Singapore,Residential,Microwave,Ship,Interstate 95 (I-95),Suppliers,16.21,6.67,8007.62,80.06,5.6,Low,2021
Frontier Supply Co.,New Zealand,Transportation,GPS System,Ship,Paris Orly Airport,Wholesalers,4.62,1.42,5623.92,590.58,6.7,Medium,2021
Terra Logistics,India,Transportation,Oil Filter,Train,Thalys Paris-Brussels,Suppliers,5.07,30.46,6559.93,506.39,7.1,Low,2021
Infinity Logistics,Malaysia,Residential,Refrigerator,Train,Gatwick Airport,Manufacturers,2.67,44.54,3101.2,301.56,6.9,High,2022
Nexus Procurement,Germany,Industrial,Hydraulic Pump,Train,Interstate 75 (I-75),Logistics,3.93,33.08,5222.25,688.37,5.8,Medium,2020
Nexus Procurement,Germany,Electric,Smart Plug,Air,Paris Charles de Gaulle Airport,Wholesalers,14.15,3.79,7803.36,674.87,4,High,2021
Nova Enterprises,Philippines,Commercial,Office Desk,Air,Eurostar London-Paris,Suppliers,8.28,9.68,6211.43,187.57,7.4,High,2018
Pinnacle Trading Co.,Singapore,Electric,Extension Cord,Truck,Interstate 5 (I-5),Warehouses,5.82,7.23,9084.83,154.15,7.4,Low,2022
Stellar Solutions,South Korea,Commercial,File Cabinet,Truck,Port of New York and New Jersey,Retailers,10.36,9.95,1086.85,112.01,7.8,Medium,2021
Orion Trading Co.,Finland,Transportation,Air Filter,Train,Thalys Amsterdam-Cologne,Warehouses,9.32,22.17,445.14,773.69,6.5,Low,2023
Celestial Supply Chain,Chile,Industrial,Air Compressor,Train,Interstate 65 (I-65),Retailers,9.71,18.71,4826.85,952.03,6.1,Low,2018
Aurora Trade Partners,United Kingdom,Commercial,Printer,Train,Hamburg Port,Retailers,16.5,27.7,5905.36,705.91,7.7,Low,2018
Quantum Logistics,Indonesia,Transportation,Oil Filter,Ship,Port of Antwerp,Wholesalers,10.87,34.25,4967.87,765.34,5.9,Low,2021
Summit Procurement,Thailand,Commercial,File Cabinet,Air,Port of Antwerp,Manufacturers,14.73,38.99,7424.68,567.38,6.1,Medium,2022
Nova Resource Group,Ukraine,Commercial,Shredder,Truck,Interstate 15 (I-15),Suppliers,16.38,18.8,3302.99,227.13,5.5,High,2023
Frontier Resources,United States,Industrial,Pneumatic Tool,Truck,Interstate 25 (I-25),Wholesalers,6.11,7.22,5612.3,136.6,8.3,High,2020
Elevate Enterprises,Greece,Transportation,Alternator,Ship,LAX Airport,Manufacturers,11,17.52,8648.46,403.66,8.1,Medium,2021
Spectrum Trading Solutions,Mexico,Transportation,Alternator,Ship,Hamburg Port,Manufacturers,8.34,4.18,6913.18,764.71,6.4,Low,2019
Orion Trading Co.,Finland,Commercial,Desk Chair,Truck,Amsterdam Airport Schiphol,Retailers,6.79,45.34,5811.56,686.82,6.9,Medium,2020
Omega Trading Solutions,Argentina,Transportation,Oil Filter,Truck,Port of Jebel Ali,Wholesalers,13.45,13.14,4121.35,938.04,6.9,Medium,2019
Stellar Supply Co.,Malaysia,Electric,Power Strip,Ship,Route 66 (Chicago to Los Angeles),Warehouses,15.95,45.68,5620.14,760.6,7.8,Low,2019
Horizon Supplies,Netherlands,Transportation,Brake Pad,Train,Thalys Cologne-Paris,Manufacturers,12.98,39.58,6186.52,211.08,9.8,High,2021
Infinity Logistics,Malaysia,Transportation,Alternator,Train,Interstate 80 (I-80),Suppliers,13.65,46.53,9651.03,961.33,4.8,Low,2019
Horizon Distribution,Chile,Electric,Battery Charger,Truck,Interstate 15 (I-15),Suppliers,2.06,32,5404.26,357.68,7.7,High,2023
Summit Procurement,Thailand,Transportation,Shock Absorber,Truck,Port of Jebel Ali,Warehouses,4.68,43.16,9083.42,12.15,8.3,Medium,2019
Nexus Procurement,Germany,Industrial,Air Compressor,Air,Port of Hamburg,Logistics,18.32,4.38,9722.41,481.53,4.8,High,2018
Horizon Supplies,Netherlands,Transportation,Radiator,Ship,Hamburg Port,Logistics,11.46,1.76,4650.06,813.64,7.1,High,2021
Quantum Distributors,Colombia,Electric,Solar Panel,Air,Port of Hong Kong,Retailers,4.62,34.05,7130.97,438.37,7,High,2021
Horizon Distribution,Chile,Residential,Washing Machine,Train,Schiphol Airport,Logistics,1.84,46.4,8404.79,900.04,5.4,Low,2023
Terra Logistics,India,Electric,Surge Protector,Ship,Hong Kong International Airport,Wholesalers,17.94,39.97,8092.43,229.22,7,Medium,2023
Summit Distribution,Poland,Electric,Electric Heater,Truck,Paris Orly Airport,Wholesalers,13.08,20.65,3518.42,370.23,3.2,High,2020
Pinnacle Resources,Peru,Residential,Television,Train,Eurostar Brussels-London,Suppliers,13.86,37.57,9135.83,502.27,3.9,Medium,2023
Spectrum Trading Solutions,Mexico,Transportation,Headlight,Ship,Port of Busan,Manufacturers,11.56,28.53,6099.85,269.2,9.6,High,2022
Zenith Supply Co.,Switzerland,Commercial,Office Desk,Train,Port of Zeebrugge,Wholesalers,13.9,15.2,1549.55,656.45,6.2,High,2023
Nova Trade Solutions,Italy,Transportation,Tire,Train,Port of Hong Kong,Warehouses,17.91,30.76,2279.33,357.92,4.7,Low,2020
Apex Supply Co.,Canada,Commercial,Desk Chair,Air,Interstate 20 (I-20),Wholesalers,2.39,10.26,3536.97,525.22,5.1,High,2018
Vertex Industries,Turkey,Electric,Solar Panel,Truck,Interstate 55 (I-55),Wholesalers,7.85,8.8,9438.85,271.93,3.9,Medium,2018
Infinity Traders,Norway,Residential,Refrigerator,Ship,Port of Long Beach,Logistics,13.2,42.71,1537.1,920.96,4.3,High,2019
Elevate Enterprises,Greece,Transportation,Shock Absorber,Air,Port of Shanghai,Warehouses,5.26,33.9,2932.53,14.18,4.8,High,2021
Ascend Supply Chain,Bangladesh,Residential,Washing Machine,Ship,Interstate 25 (I-25),Warehouses,15.76,37.92,3428.13,17.45,7.5,High,2022
Quantum Logistics,Indonesia,Electric,Wall Socket,Air,Interstate 20 (I-20),Wholesalers,5.16,49.87,7308.65,119.92,8,Medium,2020
Apex Logistics,Vietnam,Transportation,Car Battery,Ship,Eurostar Brussels-London,Suppliers,13.9,5.36,4150.21,982.59,9,Medium,2019
Vertex Industries,Turkey,Commercial,Desk Chair,Air,Frankfurt-Munich,Manufacturers,1.56,31.13,2771.35,692.75,6.5,Medium,2022
Terra Resources,Uruguay,Residential,Washing Machine,Air,Port of Valencia,Logistics,18.06,1.31,4390.69,979.14,2.5,High,2021
Aurora Logistics,Hungary,Residential,Air Conditioner,Air,Paris Charles de Gaulle Airport,Logistics,5.91,18.68,1917.04,150.02,7.9,High,2020
Titan Resource Partners,Kenya,Commercial,Whiteboard,Air,Haneda Airport,Warehouses,18.88,20.93,5267.28,990.52,8.4,Low,2023
Vertex Supply Partners,Saudi Arabia,Commercial,Projector,Air,Port of Shanghai,Manufacturers,8.62,24.51,3776.52,204.26,5.4,Medium,2022
Titan Resource Partners,Kenya,Transportation,Alternator,Truck,Port of Rotterdam,Retailers,19.47,19.52,9202.6,738.97,7.1,Medium,2020
Atlas Trading Co.,Singapore,Residential,Refrigerator,Truck,Interstate 95 (I-95),Suppliers,7.86,6.5,5667.01,183,5.6,Medium,2018
Infinity Logistics,Malaysia,Residential,Vacuum Cleaner,Truck,Interstate 35 (I-35),Wholesalers,15.81,26.4,5217.78,655.81,5.2,High,2018
Summit Procurement,Thailand,Transportation,Tire,Truck,Paris Charles de Gaulle Airport,Retailers,8.37,29.78,410.03,388.85,6.7,Low,2022
Apex Logistics,Vietnam,Industrial,CNC Machine,Train,Amsterdam Airport Schiphol,Warehouses,7.72,30.68,423.24,505.81,8.1,Medium,2021
Infinity Logistics,Malaysia,Industrial,Industrial Robot,Truck,Interstate 20 (I-20),Suppliers,6.3,11.36,8929.79,230.46,7,Low,2023
Frontier Resources,United States,Commercial,Office Desk,Train,Port of Hong Kong,Suppliers,4.74,6.85,9289.57,206.2,6.2,Low,2021
Proxima Supply Co.,United Arab Emirates,Transportation,Oil Filter,Ship,Interstate 70 (I-70),Warehouses,8.24,24.6,2458.55,867.54,8.6,High,2021
Nova Enterprises,Philippines,Transportation,Alternator,Ship,Interstate 70 (I-70),Manufacturers,13.01,19.36,7726.78,799.41,6,High,2023
Summit Procurement,Thailand,Transportation,Headlight,Air,Port of Rotterdam,Warehouses,6.59,32.96,5959.82,662.05,6.9,Medium,2018
Quantum Logistics,Indonesia,Residential,Washing Machine,Ship,Shinkansen Osaka-Kyoto,Retailers,15.32,18.26,4666.02,221.83,5.3,Medium,2022
Terra Logistics,India,Commercial,Projector,Train,Eurostar London-Brussels,Logistics,11.79,32.7,5249.39,748.99,6.3,Low,2022
Horizon Supplies,Netherlands,Residential,Washing Machine,Truck,Haneda Airport,Retailers,2.88,47.89,2191.95,558.74,6.6,High,2019
Terra Logistics,India,Commercial,Office Desk,Ship,Interstate 25 (I-25),Manufacturers,18.02,39.35,2411.48,976.89,5.2,Low,2018
Omega Trading Solutions,Argentina,Transportation,Radiator,Truck,Interstate 35 (I-35),Wholesalers,1.57,33.38,1816.39,574.57,6.6,Low,2022
Apex Logistics,Vietnam,Transportation,Air Filter,Truck,TGV Paris-Marseille,Suppliers,8.13,36.07,6519.67,239.42,8.7,Low,2023
